,comName,date,lat,lng,locId,sciName,subId
13758,Common Shelduck,2023-06-02,53.6075162,8.3243194,L7872483,Tadorna tadorna,S140239947
13759,Eurasian Curlew,2023-06-02,53.6075162,8.3243194,L7872483,Numenius arquata,S140239947
13760,Eurasian Oystercatcher,2023-06-02,53.6075162,8.3243194,L7872483,Haematopus ostralegus,S140239947
13761,Eurasian Spoonbill,2023-06-02,53.6075162,8.3243194,L7872483,Platalea leucorodia,S140239947
13762,Rock Bunting,2023-06-02,44.6140004,8.717527,L24880052,Emberiza cia,S140233889
13763,Cirl Bunting,2023-06-02,44.6140004,8.717527,L24880052,Emberiza cirlus,S140233889
13764,Meadow Pipit,2023-06-02,53.6075162,8.3243194,L7872483,Anthus pratensis,S140239947
13765,Common Cuckoo,2023-06-02,44.6140004,8.717527,L24880052,Cuculus canorus,S140233889
13766,Short-toed Snake-Eagle,2023-06-02,44.6140004,8.717527,L24880052,Circaetus gallicus,S140233889
13767,Pied Avocet,2023-06-02,53.6075162,8.3243194,L7872483,Recurvirostra avosetta,S140239947
13768,European Turtle-Dove,2023-06-02,44.6140004,8.717527,L24880052,Streptopelia turtur,S140233889
13769,Moltoni's Warbler,2023-06-02,44.6140004,8.717527,L24880052,Curruca subalpina,S140233889
13770,Western Bonelli's Warbler,2023-06-02,44.6140004,8.717527,L24880052,Phylloscopus bonelli,S140233889
13771,Eurasian Jackdaw,2023-06-02,44.6140004,8.717527,L24880052,Corvus monedula,S140233889
13772,Western Bonelli's Warbler,2023-06-02,42.229292,1.661525,L24882735,Phylloscopus bonelli,S140245279
13773,Rose-ringed Parakeet,2023-06-02,40.2190819,-3.7826183,L23770683,Psittacula krameri,S140233953
13774,Common Pochard,2023-06-02,37.3525819,-5.9698865,L12576786,Aythya ferina,S140237248
13775,Purple Heron,2023-06-02,37.3525819,-5.9698865,L12576786,Ardea purpurea,S140237248
13776,Little Egret,2023-06-02,45.068678,8.936872,L24881148,Egretta garzetta,S140238669
13777,Black-winged Stilt,2023-06-02,45.068678,8.936872,L24881148,Himantopus himantopus,S140238669
